date_key,full_date,year,quarter,month,month_name,day,day_of_week,day_name,is_weekend
20171204,2017-12-04,2017,4,12,December,4,1,Monday,False
20171205,2017-12-05,2017,4,12,December,5,2,Tuesday,False
20171206,2017-12-06,2017,4,12,December,6,3,Wednesday,False
20171207,2017-12-07,2017,4,12,December,7,4,Thursday,False
20171208,2017-12-08,2017,4,12,December,8,5,Friday,False
20171209,2017-12-09,2017,4,12,December,9,6,Saturday,True
20171210,2017-12-10,2017,4,12,December,10,7,Sunday,True
20171211,2017-12-11,2017,4,12,December,11,1,Monday,False
20171212,2017-12-12,2017,4,12,December,12,2,Tuesday,False
20171213,2017-12-13,2017,4,12,December,13,3,Wednesday,False
20171214,2017-12-14,2017,4,12,December,14,4,Thursday,False
20171215,2017-12-15,2017,4,12,December,15,5,Friday,False
20171216,2017-12-16,2017,4,12,December,16,6,Saturday,True
20171217,2017-12-17,2017,4,12,December,17,7,Sunday,True
20171218,2017-12-18,2017,4,12,December,18,1,Monday,False
20171219,2017-12-19,2017,4,12,December,19,2,Tuesday,False
20171220,2017-12-20,2017,4,12,December,20,3,Wednesday,False
20171221,2017-12-21,2017,4,12,December,21,4,Thursday,False
20171222,2017-12-22,2017,4,12,December,22,5,Friday,False
20171223,2017-12-23,2017,4,12,December,23,6,Saturday,True
20171224,2017-12-24,2017,4,12,December,24,7,Sunday,True
